nomcentre,adressa,poblacio,tf,correu,titularitat,comarca,lat,lon
Servei d'informació i atenció a les dones (SIAD) del Montsià,"Carrer Jaume I, 2-4, 43870, Amposta",Amposta,977707496,siad@montsia.cat,Consell Comarcal del Montsià,Montsià,40.71257,0.58284
Servei d'informació i atenció a les dones (SIAD) del Pallars Jussà,"Carrer de Soldevila, 18, 25620, Tremp",Tremp,973650187,siad@pallarsjussa.cat,Consell Comarcal del Pallars Jussà,Pallars Jussà,42.16636,0.89478
Servei d'informació i atenció a les dones (SIAD) del Pallars Sobirà,"Carrer del Mig, 9, 25560, Sort",Sort,973620107,siad@pallarssobira.cat,Consell Comarcal del Pallars Sobirà,Pallars Sobirà,42.41179,1.13031
Servei d'informació i atenció a les dones (SIAD) del Pla d'Urgell,"Carrer de Prat de la Riba, 1, 25230, Mollerussa",Mollerussa,973711313,areadona@plaurgell.cat,Consell Comarcal del Pla d'Urgell,Pla d'Urgell,41.63168,0.89424
Servei d'informació i atenció a les dones (SIAD) del Priorat,"Plaça de la Quartera, 1, 43730, Falset",Falset,977830119,siad@priorat.cat,Consell Comarcal del Priorat,Priorat,41.14652,0.82035
Servei d'informació i atenció a les dones (SIAD) del Ripollès,"Carrer Progrés, 22, 17500, Ripoll",Ripoll,972715839,dones@ripolles.cat,Consell Comarcal del Ripollès,Ripollès,42.19772,2.19435
Servei d'informació i atenció a les dones (SIAD) del Segrià,"Carrer del Canyeret, s/n, 25007, Lleida",Lleida,973054800,siad@segria.cat,Consell Comarcal del Segrià,Segrià,41.61637,0.62704
Servei d'informació i atenció a les dones (SIAD) del Solsonès,"Carrer dels Dominics, 14, 25280, Solsona",Solsona,973483234,atenciodona@solsones.ddl.net,Consell Comarcal del Solsonès,Solsonès,41.99582,1.51909
Servei d'informació i atenció a les dones (SIAD) del Tarragonès,"Carrer de les Coques, 3, 43003, Tarragona",Tarragona,977244506,siad@tarragones.cat,Consell Comarcal del Tarragonès,Tarragonès,41.11886,1.25868
Servei d'informació i atenció a les dones (SIAD) del Vallès Occidental,"Carretera Nacional - 150, km. 15 (Edifici Consell Comarcal), 8227, Terrassa",Terrassa,937273534,ja@ccvoc.cat,Consell Comarcal del Vallès Occidental,Vallès Occidental,41.55396,2.05352
Servei d'informació i atenció a les dones (SIAD) del Vallès Oriental,"Carrer Miquel Ricomà, 46, 8401, Granollers",Granollers,938600706,ramonedasa@vallesoriental.cat,Consell Comarcal del Vallès Oriental,Vallès Oriental,41.60603,2.2862
Servei d'informació i atenció a les dones (SIAD) de l'Aran,"Carrer Major, 36, 25530, Vielha e Mijaran",Vielha e Mijaran,973642560,siah@aransalut.com,Consell General d'Aran,Val d'Aran,42.70004,0.79379
Servei d'informació i atenció a les dones (SIAD) d'Olot-Garrotxa,"Plaça Palau, 8, 17800, Olot",Olot,972266644,csans@casg.cat,Consorci Acció Social de la Garrotxa,Garrotxa,42.18312,2.49397
Servei d'informació i atenció a les dones (SIAD) del Pla de l'Estany,"Carrer Pere Alsius, 10, 1r, 17820, Banyoles",Banyoles,972580388,siad@cbsplaestany.cat,Consorci de Benestar Social Pla de l'Estany - Banyoles,Pla de l'Estany,42.11604,2.76381
Oficina d'informació de l'Institut Català de les Dones a Girona,"Plaça de Pompeu Fabra, 1, 17002, Girona",Girona,872975874,icd.girona@gencat.cat,Generalitat de Catalunya,Gironès,41.981169,2.822654
Oficina d'informació de l'Institut Català de les Dones a Lleida,"Carrer de Lluís Companys, 1, entresòl, 25003, Lleida",Lleida,973703658,icd.lleida@gencat.cat,Generalitat de Catalunya,Segrià,41.611962,0.619348
Oficina d'informació de l'Institut Català de les Dones a Barcelona,"Plaça Pere Coromines, 1, 8001, Barcelona",Barcelona,934951600,icd@gencat.cat,Generalitat de Catalunya,Barcelonès,41.377354,2.1717
Oficina d'informació de l'Institut Català de les Dones a les Terres de l'Ebre,"Carrer de Montcada, 23 (Palau Abària), 43500, Tortosa",Tortosa,977441234,icd.terresebre@gencat.cat,Generalitat de Catalunya,Baix Ebre,40.813047,0.523474
Oficina d'informació de l'Institut Català de les Dones a Tarragona,"Carrer de Sant Francesc, 3, 43003, Tarragona",Tarragona,977241304,icd.tarragona@gencat.cat,Generalitat de Catalunya,Tarragonès,41.116657,1.253299
